CustomerID,TransactionDate,TransactionAmount,ItemPurchased
CUST003,2023-04-28,17.36,Sandwich
CUST003,2023-05-15,20.32,Coffee
CUST003,2023-11-02,12.99,Coffee
CUST003,2023-07-15,10.78,Coffee
CUST003,2023-08-28,22.66,Sandwich
CUST003,2023-10-02,19.6,Coffee
CUST003,2023-11-07,9.98,Coffee
CUST003,2023-04-28,6.9,Salad
CUST003,2023-01-17,13.68,Coffee
CUST003,2023-11-10,8.11,Salad
CUST003,2023-01-05,28.57,Salad
CUST003,2023-06-19,22.63,Coffee
CUST003,2023-06-19,20.78,Sandwich
CUST003,2023-11-16,28.02,Coffee
CUST003,2023-06-10,29.94,Coffee
CUST003,2023-08-22,21.94,Coffee
CUST004,2023-03-22,23.84,Salad
CUST004,2023-07-24,22.49,Pastry
CUST004,2023-10-17,26.5,Sandwich
CUST004,2023-08-05,13.33,Salad
CUST004,2023-07-03,20.22,Pastry
CUST004,2023-04-13,25.51,Sandwich
CUST004,2023-08-24,12.07,Salad
CUST004,2023-03-01,14.65,Sandwich
CUST004,2023-02-17,19.15,Coffee
CUST005,2023-06-11,9.4,Salad
CUST005,2023-11-18,11.86,Sandwich
CUST005,2023-12-10,24.17,Sandwich
CUST005,2023-04-23,20.68,Coffee
CUST005,2023-10-04,20.89,Salad
CUST005,2023-08-05,7.14,Salad
CUST005,2023-10-04,12.66,Pastry
CUST005,2023-10-05,29.36,Pastry
CUST005,2023-09-18,6.28,Salad
CUST005,2023-11-01,15.02,Salad
CUST005,2023-02-17,7.28,Sandwich
CUST005,2023-11-02,19.75,Salad
CUST006,2023-01-01,14.85,Sandwich
CUST006,2023-09-08,21.07,Salad
CUST006,2023-10-18,14.48,Pastry
CUST006,2023-02-08,21.15,Sandwich
CUST006,2023-10-24,11.86,Sandwich
CUST006,2023-06-03,5.07,Pastry
CUST006,2023-04-20,20.63,Salad
CUST006,2023-09-28,22.49,Coffee
CUST006,2023-05-17,17.71,Sandwich
CUST007,2023-08-23,16.41,Pastry
CUST007,2023-05-04,24.03,Pastry
CUST007,2023-07-09,23.91,Salad
CUST007,2023-01-21,29.33,Coffee
CUST007,2023-05-23,16.38,Pastry
CUST007,2023-01-23,13.46,Pastry
CUST008,2023-09-14,23.69,Salad
CUST008,2023-02-19,15.89,Salad
CUST008,2023-12-11,16.62,Sandwich
CUST008,2023-08-18,5.25,Sandwich
CUST008,2023-07-19,24.05,Sandwich
CUST008,2023-09-25,29.75,Pastry
CUST008,2023-08-09,18.73,Pastry
CUST008,2023-04-08,16.74,Sandwich
CUST008,2023-06-14,13.64,Salad
CUST008,2023-10-22,25.96,Coffee
CUST009,2023-10-03,27.29,Salad
CUST009,2023-03-20,20.67,Salad
CUST009,2023-10-29,22.27,Coffee
CUST009,2023-10-20,22.68,Coffee
CUST009,2023-03-13,28.7,Coffee
CUST009,2023-08-21,10.41,Coffee
CUST009,2023-04-22,5.35,Salad
CUST009,2023-02-11,28.53,Salad
CUST009,2023-10-19,12.6,Coffee
CUST009,2023-08-03,18.06,Coffee
CUST009,2023-11-15,22.57,Coffee
CUST009,2023-02-08,21.44,Coffee
CUST009,2023-05-23,9.72,Salad
CUST009,2023-05-11,29.23,Salad
CUST009,2023-12-06,23.67,Sandwich
CUST009,2023-12-23,24.9,Salad
CUST010,2023-06-23,21.93,Salad
CUST010,2023-02-06,14.26,Pastry
CUST010,2023-05-14,20.53,Sandwich
CUST010,2023-05-06,27.71,Sandwich
CUST010,2023-08-15,16.37,Sandwich
CUST010,2023-07-06,8.04,Sandwich
CUST010,2023-12-10,12.92,Pastry
CUST010,2023-07-29,22.35,Salad
CUST010,2023-09-01,13.81,Pastry
CUST011,2023-09-01,21.25,Pastry
CUST011,2023-04-26,5.64,Sandwich
CUST011,2023-07-28,23.65,Sandwich
CUST011,2023-12-09,23.5,Sandwich
CUST011,2023-06-10,28.69,Coffee
CUST011,2023-03-09,15.63,Coffee
CUST011,2023-07-09,25.67,Pastry
CUST011,2023-05-22,21.75,Coffee
CUST011,2023-07-01,29.81,Sandwich
CUST011,2023-04-01,17.72,Sandwich
CUST011,2023-04-09,18.28,Coffee
CUST011,2023-06-08,6.23,Coffee
CUST012,2023-07-05,27.43,Coffee
CUST012,2023-02-26,18.03,Sandwich
CUST012,2023-11-08,21.98,Pastry
CUST012,2023-07-05,6.26,Coffee
CUST012,2023-07-01,26.29,Coffee
CUST012,2023-05-23,17.21,Salad
CUST012,2023-01-31,8.02,Coffee
CUST012,2023-11-14,24.77,Pastry
CUST013,2023-07-17,8.46,Pastry
CUST013,2023-11-02,22.35,Salad
CUST013,2023-06-24,24.14,Pastry
CUST013,2023-10-02,11.91,Coffee
CUST013,2023-05-16,9.63,Sandwich
CUST013,2023-06-11,19.85,Coffee
CUST013,2023-05-02,17.46,Sandwich
CUST013,2023-10-25,29.52,Pastry
CUST013,2023-04-11,22.97,Pastry
CUST014,2023-06-23,10.3,Coffee
CUST014,2023-03-10,13.06,Coffee
CUST014,2023-11-23,28.63,Coffee
CUST014,2023-01-20,15.37,Salad
CUST015,2023-01-02,18.4,Sandwich
CUST015,2023-07-22,21.51,Salad
CUST015,2023-11-14,21.46,Salad
CUST016,2023-12-02,17.95,Pastry
CUST016,2023-01-04,7.55,Salad
CUST016,2023-02-18,17.09,Sandwich
CUST016,2023-05-27,17.1,Pastry
CUST016,2023-05-16,27.9,Pastry
CUST016,2023-10-10,24.0,Sandwich
CUST016,2023-06-07,22.46,Coffee
CUST016,2023-02-22,7.33,Pastry
CUST016,2023-07-15,24.75,Sandwich
CUST016,2023-02-07,20.52,Pastry
CUST017,2023-05-18,23.77,Pastry
CUST017,2023-12-16,27.62,Salad
CUST017,2023-12-01,20.26,Pastry
CUST017,2023-02-20,5.72,Coffee
CUST017,2023-08-23,16.26,Sandwich
CUST017,2023-12-06,6.0,Sandwich
CUST017,2023-06-29,22.44,Pastry
CUST017,2023-02-13,19.3,Pastry
CUST018,2023-05-15,15.48,Coffee
CUST018,2023-09-29,5.67,Salad
CUST018,2023-04-13,19.1,Sandwich
CUST018,2023-04-08,18.45,Salad
CUST018,2023-08-23,22.67,Salad
CUST018,2023-03-07,28.19,Coffee
CUST018,2023-09-19,23.06,Sandwich
CUST019,2023-02-02,18.5,Sandwich
CUST019,2023-02-27,14.51,Salad
CUST019,2023-05-03,10.29,Sandwich
CUST019,2023-09-06,11.31,Pastry
CUST019,2023-05-08,13.51,Coffee
CUST019,2023-05-02,18.27,Sandwich
CUST019,2023-11-27,6.88,Salad
CUST019,2023-06-25,6.01,Pastry
CUST019,2023-04-18,10.98,Coffee
CUST019,2023-06-29,12.46,Sandwich
CUST019,2023-04-09,13.63,Sandwich
CUST019,2023-02-25,17.56,Pastry
